Restaurant_Name,Location,Cuisine,Rating,Address,Map
Shawarma Damasco - Banani,Banani,Shawarma,2.2/5,"Shawarma Damasco - Banani,banani",https://maps.app.goo.gl/goFcG6Bgg2r4WrPe6
New Cathay,Banani,Thai,4/5,"New Cathay,banani",https://maps.app.goo.gl/mpoGzgyBMc9NTnGR6
Villa Azzur,Banani,Thai,4.8/5,"Villa Azzur,banani",https://maps.app.goo.gl/mN65VveLpFGRQ1jR7
The Bake House - Thai Artisan Bakery,Banani,Cafe,4/5,"The Bake House - Thai Artisan Bakery,banani",https://maps.app.goo.gl/hMpykqgh7zST18x4A
Attin Arabian Restaurant,Banani,Middle Eastern,4.2/5,"Attin Arabian Restaurant,banani",https://maps.app.goo.gl/9ZSevhgbHVU9MErY7
Turkish Bazaar,Banani,Kebab,4.3/5,"Turkish Bazaar,banani",https://maps.app.goo.gl/LN6GTuSoWRbSHiTX7
Ruen Busaba,Banani,Thai,5/5,"Ruen Busaba,banani",https://maps.app.goo.gl/dAMRPw6DZVyHM2iV7
Dumplings Of Fury by Picnic,Banani,Dumpling,4/5,"Dumplings Of Fury by Picnic,banani",https://maps.app.goo.gl/DBcmV5mGmwkD3hCn9
Fat Boy Pies by Picnic,Banani,Pizza,4.1/5,"Fat Boy Pies by Picnic,banani",https://maps.app.goo.gl/Bx2eLZBnV74bGmaz7
Oh My Rolls by Picnic,Banani,Snacks,4/5,"Oh My Rolls by Picnic,banani",https://maps.app.goo.gl/DMqUSAFx6D6wpM437
Cafe Mario's - Banani,Banani,Mexican,3.7/5,"Cafe Mario's - Banani,banani",https://maps.app.goo.gl/nx19VvJ7JHTTzhsT7
G.M.T Catering Services (Wood fired Brick Oven Pizza),Banani,Pizza,4.3/5,"G.M.T Catering Services (Wood fired Brick Oven Pizza),banani",https://maps.app.goo.gl/C2W9d6c1XJ5KhY6D9
Tajine - Nawabi Cuisine,Banani,Curry,4.2/5,"Tajine - Nawabi Cuisine,banani",https://maps.app.goo.gl/q1MVkhkP7GmEaayGA
Kahve Garden Cafe,Banani,Cafe,4.4/5,"Kahve Garden Cafe,banani",https://maps.app.goo.gl/U21vPvm61BtSs629A
